"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","2009-07",-0.2788104,
"AUT","CPI","TOT","AGRWTH","M","2009-08",0.2793296,
"AUT","CPI","TOT","AGRWTH","M","2009-09",0.09285051,
"AUT","CPI","TOT","AGRWTH","M","2009-10",0.1858736,
"AUT","CPI","TOT","AGRWTH","M","2009-11",0.6523765,
"AUT","CPI","TOT","AGRWTH","M","2009-12",1.027078,
"AUT","CPI","TOT","AGRWTH","M","2010-01",1.219512,
"AUT","CPI","TOT","AGRWTH","M","2010-02",1.028037,
"AUT","CPI","TOT","AGRWTH","M","2010-03",1.958955,
"AUT","CPI","TOT","AGRWTH","M","2010-04",2.048417,
"AUT","CPI","TOT","AGRWTH","M","2010-05",1.85701,
"AUT","CPI","TOT","AGRWTH","M","2010-06",1.951673,
"AUT","CPI","TOT","AGRWTH","M","2010-07",1.863933,
"AUT","CPI","TOT","AGRWTH","M","2010-08",1.671309,
"AUT","CPI","TOT","AGRWTH","M","2010-09",1.855288,
"AUT","CPI","TOT","AGRWTH","M","2010-10",2.133581,
"AUT","CPI","TOT","AGRWTH","M","2010-11",1.851852,
"AUT","CPI","TOT","AGRWTH","M","2010-12",2.310536,
"AUT","CPI","TOT","AGRWTH","M","2011-01",2.502317,
"AUT","CPI","TOT","AGRWTH","M","2011-02",3.021771,
"AUT","CPI","TOT","AGRWTH","M","2011-03",3.09295,
"AUT","CPI","TOT","AGRWTH","M","2011-04",3.310327,
"AUT","CPI","TOT","AGRWTH","M","2011-05",3.315974,
"AUT","CPI","TOT","AGRWTH","M","2011-06",3.315974,
"AUT","CPI","TOT","AGRWTH","M","2011-07",3.4937,
"AUT","CPI","TOT","AGRWTH","M","2011-08",3.504679,
"AUT","CPI","TOT","AGRWTH","M","2011-09",3.620805,
"AUT","CPI","TOT","AGRWTH","M","2011-10",3.437919,
"AUT","CPI","TOT","AGRWTH","M","2011-11",3.631503,
"AUT","CPI","TOT","AGRWTH","M","2011-12",3.174041,
"AUT","CPI","TOT","AGRWTH","M","2012-01",2.772277,
"AUT","CPI","TOT","AGRWTH","M","2012-02",2.556539,
"AUT","CPI","TOT","AGRWTH","M","2012-03",2.429543,
"AUT","CPI","TOT","AGRWTH","M","2012-04",2.321083,
"AUT","CPI","TOT","AGRWTH","M","2012-05",2.125604,
"AUT","CPI","TOT","AGRWTH","M","2012-06",2.222222,
"AUT","CPI","TOT","AGRWTH","M","2012-07",2.129719,
"AUT","CPI","TOT","AGRWTH","M","2012-08",2.222222,
"AUT","CPI","TOT","AGRWTH","M","2012-09",2.694899,
"AUT","CPI","TOT","AGRWTH","M","2012-10",2.788461,
"AUT","CPI","TOT","AGRWTH","M","2012-11",2.785783,
"AUT","CPI","TOT","AGRWTH","M","2012-12",2.780441,
"AUT","CPI","TOT","AGRWTH","M","2013-01",2.697495,
"AUT","CPI","TOT","AGRWTH","M","2013-02",2.492809,
"AUT","CPI","TOT","AGRWTH","M","2013-03",2.27704,
"AUT","CPI","TOT","AGRWTH","M","2013-04",1.984877,
"AUT","CPI","TOT","AGRWTH","M","2013-05",2.270577,
"AUT","CPI","TOT","AGRWTH","M","2013-06",2.173913,
"AUT","CPI","TOT","AGRWTH","M","2013-07",1.990521,
"AUT","CPI","TOT","AGRWTH","M","2013-08",1.795841,
"AUT","CPI","TOT","AGRWTH","M","2013-09",1.686973,
"AUT","CPI","TOT","AGRWTH","M","2013-10",1.403181,
"AUT","CPI","TOT","AGRWTH","M","2013-11",1.401869,
"AUT","CPI","TOT","AGRWTH","M","2013-12",1.865672,
"AUT","CPI","TOT","AGRWTH","M","2014-01",1.594747,
"AUT","CPI","TOT","AGRWTH","M","2014-02",1.496726,
"AUT","CPI","TOT","AGRWTH","M","2014-03",1.669759,
"AUT","CPI","TOT","AGRWTH","M","2014-04",1.668211,
"AUT","CPI","TOT","AGRWTH","M","2014-05",1.757632,
"AUT","CPI","TOT","AGRWTH","M","2014-06",1.850139,
"AUT","CPI","TOT","AGRWTH","M","2014-07",1.765799,
"AUT","CPI","TOT","AGRWTH","M","2014-08",1.671309,
"AUT","CPI","TOT","AGRWTH","M","2014-09",1.56682,
"AUT","CPI","TOT","AGRWTH","M","2014-10",1.568266,
"AUT","CPI","TOT","AGRWTH","M","2014-11",1.658986,
"AUT","CPI","TOT","AGRWTH","M","2014-12",1.007326,
"AUT","CPI","TOT","AGRWTH","M","2015-01",0.7386888,
"AUT","CPI","TOT","AGRWTH","M","2015-02",0.8589376,
"AUT","CPI","TOT","AGRWTH","M","2015-03",0.9571964,
"AUT","CPI","TOT","AGRWTH","M","2015-04",1.066896,
"AUT","CPI","TOT","AGRWTH","M","2015-05",0.9924396,
"AUT","CPI","TOT","AGRWTH","M","2015-06",1.00121,
"AUT","CPI","TOT","AGRWTH","M","2015-07",1.150444,
"AUT","CPI","TOT","AGRWTH","M","2015-08",0.9483453,
"AUT","CPI","TOT","AGRWTH","M","2015-09",0.7087427,
"AUT","CPI","TOT","AGRWTH","M","2015-10",0.6997142,
"AUT","CPI","TOT","AGRWTH","M","2015-11",0.6174383,
"AUT","CPI","TOT","AGRWTH","M","2015-12",1.018704,
"AUT","CPI","TOT","AGRWTH","M","2016-01",1.217039,
"AUT","CPI","TOT","AGRWTH","M","2016-02",1.011122,
"AUT","CPI","TOT","AGRWTH","M","2016-03",0.7,
"AUT","CPI","TOT","AGRWTH","M","2016-04",0.499002,
"AUT","CPI","TOT","AGRWTH","M","2016-05",0.5976096,
"AUT","CPI","TOT","AGRWTH","M","2016-06",0.5970149,
"AUT","CPI","TOT","AGRWTH","M","2016-07",0.5994006,
"AUT","CPI","TOT","AGRWTH","M","2016-08",0.6006006,
"AUT","CPI","TOT","AGRWTH","M","2016-09",0.8973081,
"AUT","CPI","TOT","AGRWTH","M","2016-10",1.297405,
"AUT","CPI","TOT","AGRWTH","M","2016-11",1.296112,
"AUT","CPI","TOT","AGRWTH","M","2016-12",1.390268,
"AUT","CPI","TOT","AGRWTH","M","2017-01",2.004008,
"AUT","CPI","TOT","AGRWTH","M","2017-02",2.202202,
"AUT","CPI","TOT","AGRWTH","M","2017-03",1.886792,
"AUT","CPI","TOT","AGRWTH","M","2017-04",2.085402,
"AUT","CPI","TOT","AGRWTH","M","2017-05",1.881188,
"AUT","CPI","TOT","AGRWTH","M","2017-06",1.879327,
"AUT","CPI","TOT","AGRWTH","M","2017-07",1.986097,
"AUT","CPI","TOT","AGRWTH","M","2017-08",2.089552,
"AUT","CPI","TOT","AGRWTH","M","2017-09",2.371542,
"AUT","CPI","TOT","AGRWTH","M","2017-10",2.167488,
"AUT","CPI","TOT","AGRWTH","M","2017-11",2.26378,
"AUT","CPI","TOT","AGRWTH","M","2017-12",2.15475,
"AUT","CPI","TOT","AGRWTH","M","2018-01",1.768173,
"AUT","CPI","TOT","AGRWTH","M","2018-02",1.762977,
"AUT","CPI","TOT","AGRWTH","M","2018-03",1.851852,
"AUT","CPI","TOT","AGRWTH","M","2018-04",1.848249,
"BEL","CPI","TOT","AGRWTH","M","1996-01",1.96159,
"BEL","CPI","TOT","AGRWTH","M","1996-02",1.881356,
"BEL","CPI","TOT","AGRWTH","M","1996-03",2.037,
"BEL","CPI","TOT","AGRWTH","M","1996-04",2.053134,
"BEL","CPI","TOT","AGRWTH","M","1996-05",1.911648,
"BEL","CPI","TOT","AGRWTH","M","1996-06",1.82181,
"BEL","CPI","TOT","AGRWTH","M","1996-07",1.931144,
"BEL","CPI","TOT","AGRWTH","M","1996-08",1.939865,
"BEL","CPI","TOT","AGRWTH","M","1996-09",1.984448,
"BEL","CPI","TOT","AGRWTH","M","1996-10",2.472633,
"BEL","CPI","TOT","AGRWTH","M","1996-11",2.379929,
"BEL","CPI","TOT","AGRWTH","M","1996-12",2.545016,
"BEL","CPI","TOT","AGRWTH","M","1997-01",2.323934,
"BEL","CPI","TOT","AGRWTH","M","1997-02",1.99406,
"BEL","CPI","TOT","AGRWTH","M","1997-03",1.455625,
"BEL","CPI","TOT","AGRWTH","M","1997-04",1.255643,
"BEL","CPI","TOT","AGRWTH","M","1997-05",1.582815,
"BEL","CPI","TOT","AGRWTH","M","1997-06",1.738025,
"BEL","CPI","TOT","AGRWTH","M","1997-07",1.895269,
"BEL","CPI","TOT","AGRWTH","M","1997-08",1.834477,
"BEL","CPI","TOT","AGRWTH","M","1997-09",1.613809,
"BEL","CPI","TOT","AGRWTH","M","1997-10",1.301245,
"BEL","CPI","TOT","AGRWTH","M","1997-11",1.411009,
"BEL","CPI","TOT","AGRWTH","M","1997-12",1.143495,
"BEL","CPI","TOT","AGRWTH","M","1998-01",0.4016064,
"BEL","CPI","TOT","AGRWTH","M","1998-02",0.7348863,
"BEL","CPI","TOT","AGRWTH","M","1998-03",1.030784,
"BEL","CPI","TOT","AGRWTH","M","1998-04",1.504807,
"BEL","CPI","TOT","AGRWTH","M","1998-05",1.850306,
"BEL","CPI","TOT","AGRWTH","M","1998-06",1.583333,
"BEL","CPI","TOT","AGRWTH","M","1998-07",1.019565,
"BEL","CPI","TOT","AGRWTH","M","1998-08",0.440044,
"BEL","CPI","TOT","AGRWTH","M","1998-09",0.8286148,
"BEL","CPI","TOT","AGRWTH","M","1998-10",0.8563536,
"BEL","CPI","TOT","AGRWTH","M","1998-11",0.5785921,
"BEL","CPI","TOT","AGRWTH","M","1998-12",0.5790707,
"BEL","CPI","TOT","AGRWTH","M","1999-01",0.9655172,
"BEL","CPI","TOT","AGRWTH","M","1999-02",0.9772884,
"BEL","CPI","TOT","AGRWTH","M","1999-03",1.227078,
"BEL","CPI","TOT","AGRWTH","M","1999-04",1.166781,
"BEL","CPI","TOT","AGRWTH","M","1999-05",0.8468788,
"BEL","CPI","TOT","AGRWTH","M","1999-06",0.7519825,
"BEL","CPI","TOT","AGRWTH","M","1999-07",0.6546645,
"BEL","CPI","TOT","AGRWTH","M","1999-08",0.9173056,
"BEL","CPI","TOT","AGRWTH","M","1999-09",1.177921,
"BEL","CPI","TOT","AGRWTH","M","1999-10",1.301013,
"BEL","CPI","TOT","AGRWTH","M","1999-11",1.534036,
"BEL","CPI","TOT","AGRWTH","M","1999-12",1.932831,
"BEL","CPI","TOT","AGRWTH","M","2000-01",1.775956,
"BEL","CPI","TOT","AGRWTH","M","2000-02",1.93566,
"BEL","CPI","TOT","AGRWTH","M","2000-03",2.247344,
"BEL","CPI","TOT","AGRWTH","M","2000-04",2.048847,
"BEL","CPI","TOT","AGRWTH","M","2000-05",2.167141,
"BEL","CPI","TOT","AGRWTH","M","2000-06",2.741213,
"BEL","CPI","TOT","AGRWTH","M","2000-07",2.791328,
"BEL","CPI","TOT","AGRWTH","M","2000-08",2.876136,
"BEL","CPI","TOT","AGRWTH","M","2000-09",3.370786,
"BEL","CPI","TOT","AGRWTH","M","2000-10",2.974179,
"BEL","CPI","TOT","AGRWTH","M","2000-11",3.089168,
"BEL","CPI","TOT","AGRWTH","M","2000-12",2.501345,
"BEL","CPI","TOT","AGRWTH","M","2001-01",2.201342,
"BEL","CPI","TOT","AGRWTH","M","2001-02",2.259963,
"BEL","CPI","TOT","AGRWTH","M","2001-03",2.091381,
"BEL","CPI","TOT","AGRWTH","M","2001-04",2.778886,
"BEL","CPI","TOT","AGRWTH","M","2001-05",3.128729,
"BEL","CPI","TOT","AGRWTH","M","2001-06",2.932241,
"BEL","CPI","TOT","AGRWTH","M","2001-07",2.649618,
"BEL","CPI","TOT","AGRWTH","M","2001-08",2.677041,
"BEL","CPI","TOT","AGRWTH","M","2001-09",2.252488,
"BEL","CPI","TOT","AGRWTH","M","2001-10",2.350007,
"BEL","CPI","TOT","AGRWTH","M","2001-11",2.13295,
"BEL","CPI","TOT","AGRWTH","M","2001-12",2.177906,
"BEL","CPI","TOT","AGRWTH","M","2002-01",2.902548,
"BEL","CPI","TOT","AGRWTH","M","2002-02",2.628482,
"BEL","CPI","TOT","AGRWTH","M","2002-03",2.674843,
"BEL","CPI","TOT","AGRWTH","M","2002-04",1.824062,
"BEL","CPI","TOT","AGRWTH","M","2002-05",1.336933,
"BEL","CPI","TOT","AGRWTH","M","2002-06",0.872578,
"BEL","CPI","TOT","AGRWTH","M","2002-07",1.284192,
"BEL","CPI","TOT","AGRWTH","M","2002-08",1.258669,
"BEL","CPI","TOT","AGRWTH","M","2002-09",1.255123,
"BEL","CPI","TOT","AGRWTH","M","2002-10",1.295536,
"BEL","CPI","TOT","AGRWTH","M","2002-11",1.101858,
"BEL","CPI","TOT","AGRWTH","M","2002-12",1.373909,
"BEL","CPI","TOT","AGRWTH","M","2003-01",1.212508,
"BEL","CPI","TOT","AGRWTH","M","2003-02",1.745668,
"BEL","CPI","TOT","AGRWTH","M","2003-03",1.753717,
"BEL","CPI","TOT","AGRWTH","M","2003-04",1.473764,
"BEL","CPI","TOT","AGRWTH","M","2003-05",1.040213,
"BEL","CPI","TOT","AGRWTH","M","2003-06",1.615571,
"BEL","CPI","TOT","AGRWTH","M","2003-07",1.470775,
"BEL","CPI","TOT","AGRWTH","M","2003-08",1.788432,
"BEL","CPI","TOT","AGRWTH","M","2003-09",1.796104,
"BEL","CPI","TOT","AGRWTH","M","2003-10",1.58288,
"BEL","CPI","TOT","AGRWTH","M","2003-11",1.850209,
"BEL","CPI","TOT","AGRWTH","M","2003-12",1.735276,
"BEL","CPI","TOT","AGRWTH","M","2004-01",1.588903,
"BEL","CPI","TOT","AGRWTH","M","2004-02",1.264872,
"BEL","CPI","TOT","AGRWTH","M","2004-03",1.124017,
"BEL","CPI","TOT","AGRWTH","M","2004-04",1.928133,
"BEL","CPI","TOT","AGRWTH","M","2004-05",2.59887,
"BEL","CPI","TOT","AGRWTH","M","2004-06",2.25338,
"BEL","CPI","TOT","AGRWTH","M","2004-07",2.411596,
"BEL","CPI","TOT","AGRWTH","M","2004-08",2.255452,
"BEL","CPI","TOT","AGRWTH","M","2004-09",2.037773,
"BEL","CPI","TOT","AGRWTH","M","2004-10",2.867115,
"BEL","CPI","TOT","AGRWTH","M","2004-11",2.550703,
"BEL","CPI","TOT","AGRWTH","M","2004-12",2.278386,
"BEL","CPI","TOT","AGRWTH","M","2005-01",2.259186,
"BEL","CPI","TOT","AGRWTH","M","2005-02",2.55998,
"BEL","CPI","TOT","AGRWTH","M","2005-03",3.075213,
"BEL","CPI","TOT","AGRWTH","M","2005-04",2.751505,
"BEL","CPI","TOT","AGRWTH","M","2005-05",2.520803,
"BEL","CPI","TOT","AGRWTH","M","2005-06",2.877081,
"BEL","CPI","TOT","AGRWTH","M","2005-07",3.135676,
"BEL","CPI","TOT","AGRWTH","M","2005-08",3.119668,
"BEL","CPI","TOT","AGRWTH","M","2005-09",3.153921,
"BEL","CPI","TOT","AGRWTH","M","2005-10",2.472128,
"BEL","CPI","TOT","AGRWTH","M","2005-11",2.560058,
"BEL","CPI","TOT","AGRWTH","M","2005-12",2.884967,
"BEL","CPI","TOT","AGRWTH","M","2006-01",2.621996,
"BEL","CPI","TOT","AGRWTH","M","2006-02",2.387556,
"BEL","CPI","TOT","AGRWTH","M","2006-03",1.701414,
"BEL","CPI","TOT","AGRWTH","M","2006-04",1.96055,
"BEL","CPI","TOT","AGRWTH","M","2006-05",2.184292,
"BEL","CPI","TOT","AGRWTH","M","2006-06",1.86838,
"BEL","CPI","TOT","AGRWTH","M","2006-07",1.608896,
"BEL","CPI","TOT","AGRWTH","M","2006-08",1.63082,
"BEL","CPI","TOT","AGRWTH","M","2006-09",1.227718,
"BEL","CPI","TOT","AGRWTH","M","2006-10",1.206244,
"BEL","CPI","TOT","AGRWTH","M","2006-11",1.490595,
"BEL","CPI","TOT","AGRWTH","M","2006-12",1.644581,
"BEL","CPI","TOT","AGRWTH","M","2007-01",1.66785,
"BEL","CPI","TOT","AGRWTH","M","2007-02",1.766576,
"BEL","CPI","TOT","AGRWTH","M","2007-03",1.814326,
"BEL","CPI","TOT","AGRWTH","M","2007-04",1.782155,
"BEL","CPI","TOT","AGRWTH","M","2007-05",1.284897,
"BEL","CPI","TOT","AGRWTH","M","2007-06",1.285047,
"BEL","CPI","TOT","AGRWTH","M","2007-07",1.37385,
"BEL","CPI","TOT","AGRWTH","M","2007-08",1.116279,
"BEL","CPI","TOT","AGRWTH","M","2007-09",1.504373,
"BEL","CPI","TOT","AGRWTH","M","2007-10",2.243515,
"BEL","CPI","TOT","AGRWTH","M","2007-11",2.949062,
"BEL","CPI","TOT","AGRWTH","M","2007-12",3.084623,
"BEL","CPI","TOT","AGRWTH","M","2008-01",3.455497,
"BEL","CPI","TOT","AGRWTH","M","2008-02",3.645411,
"BEL","CPI","TOT","AGRWTH","M","2008-03",4.385559,
"BEL","CPI","TOT","AGRWTH","M","2008-04",4.158507,
"BEL","CPI","TOT","AGRWTH","M","2008-05",5.212778,
"BEL","CPI","TOT","AGRWTH","M","2008-06",5.801615,
"BEL","CPI","TOT","AGRWTH","M","2008-07",5.903296,
